YY,MM,DD,Min,CD317,CS317,HH,Timestamp
2021,4,5,0,105.4,7.3,14,2021-04-05 14:00:00
2021,4,5,10,107.1,6.7,14,2021-04-05 14:10:00
2021,4,5,20,104.7,6.1,14,2021-04-05 14:20:00
2021,4,5,30,101.2,6.7,14,2021-04-05 14:30:00
2021,4,5,40,102.6,6.4,14,2021-04-05 14:40:00
2021,4,5,50,100.2,5.8,14,2021-04-05 14:50:00
2021,4,5,0,100.2,5.8,15,2021-04-05 15:00:00
2021,4,5,10,95.6,6.1,15,2021-04-05 15:10:00
2021,4,5,20,86.5,7.0,15,2021-04-05 15:20:00
2021,4,5,30,87.6,8.6,15,2021-04-05 15:30:00
2021,4,5,40,87.2,9.2,15,2021-04-05 15:40:00
2021,4,5,50,89.3,9.2,15,2021-04-05 15:50:00
2021,4,5,0,89.3,9.2,16,2021-04-05 16:00:00
2021,4,5,10,84.8,9.5,16,2021-04-05 16:10:00
2021,4,5,20,84.8,9.2,16,2021-04-05 16:20:00
2021,4,5,30,82.7,9.2,16,2021-04-05 16:30:00
2021,4,5,40,82.4,9.5,16,2021-04-05 16:40:00
2021,4,5,50,84.8,10.2,16,2021-04-05 16:50:00
2021,4,5,0,85.8,10.5,17,2021-04-05 17:00:00
2021,4,5,10,79.2,10.2,17,2021-04-05 17:10:00
2021,4,5,20,84.4,10.5,17,2021-04-05 17:20:00
2021,4,5,30,81.7,11.1,17,2021-04-05 17:30:00
2021,4,5,40,77.5,11.4,17,2021-04-05 17:40:00
2021,4,5,50,78.9,11.1,17,2021-04-05 17:50:00
2021,4,5,0,77.1,11.1,18,2021-04-05 18:00:00
2021,4,5,10,83.0,11.4,18,2021-04-05 18:10:00
2021,4,5,20,86.5,12.0,18,2021-04-05 18:20:00
2021,4,5,30,84.8,13.0,18,2021-04-05 18:30:00
2021,4,5,40,83.0,13.3,18,2021-04-05 18:40:00
2021,4,5,50,83.0,12.7,18,2021-04-05 18:50:00
2021,4,5,0,83.0,12.0,19,2021-04-05 19:00:00
2021,4,5,10,82.4,12.4,19,2021-04-05 19:10:00
2021,4,5,20,78.9,12.7,19,2021-04-05 19:20:00
2021,4,5,30,76.4,12.7,19,2021-04-05 19:30:00
2021,4,5,40,72.6,12.4,19,2021-04-05 19:40:00
2021,4,5,50,65.6,12.0,19,2021-04-05 19:50:00
2021,4,5,0,66.3,12.0,20,2021-04-05 20:00:00
2021,4,5,10,70.5,12.4,20,2021-04-05 20:10:00
2021,4,5,20,78.9,12.7,20,2021-04-05 20:20:00
2021,4,5,30,78.5,13.0,20,2021-04-05 20:30:00
2021,4,5,40,78.9,14.5,20,2021-04-05 20:40:00
2021,4,5,50,77.1,14.2,20,2021-04-05 20:50:00
2021,4,5,0,75.4,13.3,21,2021-04-05 21:00:00
2021,4,5,10,72.6,12.7,21,2021-04-05 21:10:00
2021,4,5,20,76.4,12.7,21,2021-04-05 21:20:00
2021,4,5,30,73.6,13.6,21,2021-04-05 21:30:00
2021,4,5,40,72.6,13.9,21,2021-04-05 21:40:00
2021,4,5,50,85.8,14.5,21,2021-04-05 21:50:00
2021,4,5,0,90.0,13.3,22,2021-04-05 22:00:00
2021,4,5,10,97.7,10.5,22,2021-04-05 22:10:00
2021,4,5,20,96.7,10.2,22,2021-04-05 22:20:00
