#Coordinate, 61.46667_2.16667
YY,MM,DD,HH,Min,CD317,CS317
1984,7,13,14,10,NaN,NaN
1984,7,13,14,20,NaN,NaN
1984,7,13,14,30,190.2,7.9
1984,7,13,14,40,196.9,7.3
1984,7,13,14,50,203.2,6.7
1984,7,13,15,00,200,6.4
1984,7,13,15,10,202.8,6.4
1984,7,13,15,20,205.6,6.4
1984,7,13,15,30,218.1,5.4
1984,7,13,15,40,230.8,3.2
1984,7,13,15,50,282.6,1.1
1984,7,13,16,00,284,1.3
1984,7,13,16,10,252.4,1
1984,7,13,16,20,195.9,1
1984,7,13,16,30,319.4,1
1984,7,13,16,40,190.4,1.1
1984,7,13,16,50,233.5,1
1984,7,13,17,00,258.3,1
1984,7,13,17,10,229,1.1
1984,7,13,17,20,220.9,1.1
1984,7,13,17,30,187.9,1
1984,7,13,17,40,166.9,2
1984,7,13,17,50,160.4,3.2
1984,7,13,18,00,151.6,3.2
1984,7,13,18,10,160,3.2
1984,7,13,18,20,155.7,2.6
1984,7,13,18,30,171.7,2.6
1984,7,13,18,40,189.4,1
1984,7,13,18,50,180,1
1984,7,13,19,00,167.3,1.1
1984,7,13,19,10,170,1.1
1984,7,13,19,20,148.4,2.6
1984,7,13,19,30,150.8,4.5
1984,7,13,19,40,155.8,4.2
1984,7,13,19,50,154.7,2.9
1984,7,13,20,00,140,5.1
1984,7,13,20,10,148.7,7
1984,7,13,20,20,151.6,6.4
1984,7,13,20,30,138.7,5.4
1984,7,13,20,40,135.5,6
1984,7,13,20,50,137.9,7.6
1984,7,13,21,00,139.3,8.5
1984,7,13,21,10,137.2,9.2
1984,7,13,21,20,141.8,9.8
1984,7,13,21,30,144.9,10.1
1984,7,13,21,40,151.5,10.1
1984,7,13,21,50,156.1,10.4
1984,7,13,22,00,157.1,10.1
1984,7,13,22,10,160.6,9.5
1984,7,13,22,20,155.4,9.2
1984,7,13,22,30,157.8,9.5
1984,7,13,22,40,159.9,10.1
1984,7,13,22,50,163,10.7
1984,7,13,23,00,160.3,11.7
1984,7,13,23,10,158.1,11
1984,7,13,23,20,157.1,11.1
1984,7,13,23,30,155.4,12
1984,7,13,23,40,152.2,12.3
1984,7,13,23,50,153.6,12
1984,7,14,0,00,154.6,12.3
