u,v
0.006709203,-0.069677734
0.006978709,-0.076683099
0.011551367,-0.08219225
0.008530272,-0.088590262
0.002551297,-0.085962148
-0.005211613,-0.082836218
-0.010709009,-0.069175987
-0.009379033,-0.069368824
-0.005237177,-0.076821689
-0.007943871,-0.085632324
-0.016829494,-0.087394325
-0.025516745,-0.075821473
-0.027594332,-0.071885693
-0.027464371,-0.06763659
-0.024800998,-0.058999242
-0.031027816,-0.055975661
-0.029353571,-0.056871503
-0.026364513,-0.014314763
-0.032989058,-0.014412565
-0.031113893,-0.018108718
-0.063441545,-0.029583278
-0.049264147,-0.024454935
-0.025290149,-0.009455599
-0.012759646,-0.005761201
-0.019263251,-0.005378396
-0.016516335,0.004026248
-0.041969042,0.001612288
-0.051715139,0.00543548
-0.040948257,0.018661196
-0.013943302,0.014338212
-0.010082536,0.020672263
-0.031239556,0.017891063
-0.04791676,0.026999706
-0.042194083,0.03527973
-0.031931057,0.035838633
-0.03269586,0.030918938
-0.025933277,0.020407477
-0.009043584,0.006262075
-0.008966406,0.006372093
-0.009043584,0.006262075
-0.010213344,0.004085046
-0.010400704,0.00358125
-0.010485097,0.003326069
-0.01038181,0.003635658
-0.010425453,0.003508552
-0.010908383,0.001416752
-0.010184576,-0.004156249
-0.010864572,-0.001720779
-0.010998928,0.000153584
-0.010997169,-0.000249561
-0.00492535,-0.009835697
0.012791053,-0.011197721
0.035412076,-0.027766614
0.048760775,-0.04594983
0.052156506,-0.051075424
0.049582323,-0.06278211
0.048752572,-0.078020425
0.049948235,-0.08547616
0.066755474,-0.099718136
0.059927016,-0.108557601
0.070234373,-0.102191647
0.080495808,-0.125385107
0.108080837,-0.147673737
0.076649182,-0.151739589
0.075083298,-0.160285677
0.071144756,-0.162072279
0.080230478,-0.17443357
0.058899222,-0.170090804
0.063761105,-0.191672954
0.058046825,-0.193480144
0.049369496,-0.185544207
0.037422777,-0.179132732
0.033035004,-0.179993579
0.024599689,-0.18436609
0.030035417,-0.189636161
0.031844493,-0.186297956
0.030868607,-0.186462139
0.022345452,-0.184652866
0.03453399,-0.18276598
0.014122637,-0.17944512
0.011266563,-0.16962625
-0.007022721,-0.160846764
-0.010746416,-0.157634116
-0.013247673,-0.151421594
-0.009355787,-0.148705983
-0.010907054,-0.135561927
-0.016438996,-0.131980148
-0.00742426,-0.132792622
0.007192482,-0.132805377
0.007192482,-0.132805377
0.006868009,-0.126814157
0.013102835,-0.113244495
0.01428369,-0.107051278
-0.000642276,-0.091997758
0.002442965,-0.069957358
0.00424153,-0.063859294
0.005800485,-0.063736602
0.010134475,-0.06622909
0.013836014,-0.068618982
0.014614456,-0.06230905
0.009386996,-0.051145716
0.012101392,-0.043342316
0.017903414,-0.04453614
0.030735317,-0.04918679
0.032014397,-0.040976559
0.023633548,-0.031023466
0.006711597,-0.008715186
0.006496662,-0.008876563
0.007585815,-0.00796589
0.008314388,-0.007202149
0.009318341,-0.005845384
0.014448176,-0.008958249
0.009685251,-0.00521497
0.019631668,-0.011983222
0.04437821,-0.018291378
0.05581254,-0.024616263
0.060549463,-0.020730715
0.062969045,-0.030576125
0.073405369,-0.044806828
0.088334591,-0.051
0.092450122,-0.049779262
0.095970661,-0.049534152
0.089641327,-0.060236472
0.098776364,-0.068141249
0.101825507,-0.075898394
0.095075981,-0.088659787
0.10387626,-0.087782246
0.102317495,-0.09408576
0.093369162,-0.102971839
0.087826727,-0.095846054
0.084883841,-0.09039211
0.076342023,-0.097713333
0.07321742,-0.095074757
0.075518447,-0.093257515
0.067442581,-0.095605953
0.065557229,-0.089572595
0.065594762,-0.096883059
0.07087268,-0.096835237
0.077509234,-0.104366272
0.056829922,-0.123557112
0.058543159,-0.104750649
0.066348914,-0.118717403
0.061151545,-0.124825833
0.054474762,-0.114723582
0.068889504,-0.110246253
