,Time,Values
0,2020-11-24 12:43:35,8.9
1,2020-11-24 12:44:06,9.0
2,2020-11-24 12:44:36,8.9
3,2020-11-24 12:45:05,8.6
4,2020-11-24 12:45:35,8.8
5,2020-11-24 12:46:05,9.0
6,2020-11-24 12:46:35,8.7
7,2020-11-24 12:47:06,8.9
8,2020-11-24 12:47:36,8.8
9,2020-11-24 12:48:06,8.9
10,2020-11-24 12:48:36,8.8
11,2020-11-24 12:49:36,8.7
12,2020-11-24 12:50:06,8.8
13,2020-11-24 12:50:35,8.7
14,2020-11-24 12:51:36,8.6
15,2020-11-24 12:52:06,8.8
16,2020-11-24 12:52:36,8.6
17,2020-11-24 12:53:06,8.8
18,2020-11-24 12:53:35,8.7
19,2020-11-24 12:54:05,8.8
20,2020-11-24 12:55:35,8.9
21,2020-11-24 12:56:06,8.7
22,2020-11-24 12:57:06,8.9
23,2020-11-24 12:57:36,8.4
24,2020-11-24 12:58:06,8.8
25,2020-11-24 12:59:06,8.7
26,2020-11-24 13:00:05,8.9
27,2020-11-24 13:00:35,8.7
28,2020-11-24 13:01:06,8.8
29,2020-11-24 13:01:36,9.0
30,2020-11-24 13:02:36,8.7
31,2020-11-24 13:03:06,8.8
32,2020-11-24 13:03:36,8.7
33,2020-11-24 13:04:05,8.6
34,2020-11-24 13:04:36,8.8
35,2020-11-24 13:06:06,8.5
36,2020-11-24 13:06:36,8.6
37,2020-11-24 13:07:06,8.8
38,2020-11-24 13:08:06,8.6
39,2020-11-24 13:08:36,8.8
40,2020-11-24 13:09:05,8.7
41,2020-11-24 13:09:35,9.0
42,2020-11-24 13:10:05,8.7
43,2020-11-24 13:10:35,8.6
44,2020-11-24 13:11:05,8.8
45,2020-11-24 13:11:35,8.9
46,2020-11-24 13:12:36,9.0
47,2020-11-24 13:13:06,8.9
48,2020-11-24 13:14:35,8.7
49,2020-11-24 13:15:06,8.9
50,2020-11-24 13:15:40,5.4
51,2020-11-24 13:15:48,8.8
52,2020-11-24 13:16:17,8.9
53,2020-11-24 13:16:48,9.0
54,2020-11-24 13:18:18,8.9
55,2020-11-24 13:18:48,9.0
56,2020-11-24 13:19:18,8.7
57,2020-11-24 13:19:47,9.0
58,2020-11-24 13:20:18,8.9
59,2020-11-24 13:21:47,9.0
60,2020-11-24 13:22:02,6.3
61,2020-11-24 13:22:04,4.5
62,2020-11-24 13:22:08,3.0
63,2020-11-24 13:22:11,1.6
64,2020-11-24 13:22:16,0.0
65,2020-11-24 13:24:25,2.8
66,2020-11-24 13:24:28,4.9
67,2020-11-24 13:24:30,6.4
68,2020-11-24 13:24:32,5.0
69,2020-11-24 13:24:34,2.9
70,2020-11-24 13:24:35,0.8
71,2020-11-24 13:24:42,2.4
72,2020-11-24 13:24:43,4.0
73,2020-11-24 13:24:50,0.8
74,2020-11-24 13:24:53,4.5
75,2020-11-24 13:24:57,6.2
76,2020-11-24 13:24:58,8.9
77,2020-11-24 13:25:27,8.8
78,2020-11-24 13:25:58,9.0
79,2020-11-24 13:26:58,8.9
80,2020-11-24 13:28:27,8.8
81,2020-11-24 13:29:28,9.0
82,2020-11-24 13:29:58,8.9
83,2020-11-24 13:30:58,8.8
84,2020-11-24 13:31:27,8.9
85,2020-11-24 13:31:57,8.7
86,2020-11-24 13:32:27,9.0
87,2020-11-24 13:32:55,6.2
88,2020-11-24 13:32:57,4.4
89,2020-11-24 13:32:59,1.8
90,2020-11-24 13:33:01,0.0
91,2020-11-24 13:33:05,1.5
92,2020-11-24 13:33:07,3.9
93,2020-11-24 13:33:09,6.1
94,2020-11-24 13:33:11,7.5
95,2020-11-24 13:33:16,6.0
96,2020-11-24 13:33:17,3.9
97,2020-11-24 13:33:20,2.4
98,2020-11-24 13:33:21,0.8
99,2020-11-24 13:33:23,2.1
100,2020-11-24 13:33:26,3.5
101,2020-11-24 13:33:31,0.7
102,2020-11-24 13:34:01,0.0
103,2020-11-24 13:35:32,1.4
104,2020-11-24 13:35:33,3.5
105,2020-11-24 13:35:40,1.4
106,2020-11-24 13:35:41,0.0
107,2020-11-24 13:35:45,1.5
108,2020-11-24 13:35:48,3.0
109,2020-11-24 13:36:01,0.8
110,2020-11-24 13:36:07,2.5
111,2020-11-24 13:36:10,5.2
112,2020-11-24 13:36:11,7.9
113,2020-11-24 13:36:14,9.0
114,2020-11-24 13:36:44,8.9
115,2020-11-24 13:37:13,8.8
116,2020-11-24 13:37:43,8.7
117,2020-11-24 13:38:13,8.9
118,2020-11-24 13:38:43,8.8
119,2020-11-24 13:39:13,8.9
120,2020-11-24 13:39:43,8.8
121,2020-11-24 13:40:13,9.0
122,2020-11-24 13:40:44,8.9
123,2020-11-24 13:40:59,6.2
124,2020-11-24 13:41:07,8.1
125,2020-11-24 13:41:38,8.9
126,2020-11-24 13:42:07,9.0
127,2020-11-24 13:42:37,8.6
128,2020-11-24 13:43:08,8.8
129,2020-11-24 13:43:38,8.9
130,2020-11-24 13:43:53,5.2
131,2020-11-24 13:44:01,7.5
132,2020-11-24 13:44:03,5.9
133,2020-11-24 13:44:05,3.8
134,2020-11-24 13:44:07,1.6
135,2020-11-24 13:44:09,0.0
136,2020-11-24 13:46:37,2.1
137,2020-11-24 13:46:40,4.3
138,2020-11-24 13:46:41,6.5
139,2020-11-24 13:46:45,3.7
140,2020-11-24 13:46:48,1.5
141,2020-11-24 13:46:51,3.2
142,2020-11-24 13:46:53,5.4
143,2020-11-24 13:46:55,7.0
144,2020-11-24 13:47:14,8.1
145,2020-11-24 13:47:43,8.6
146,2020-11-24 13:48:44,8.2
147,2020-11-24 13:49:13,8.4
148,2020-11-24 13:49:43,8.6
149,2020-11-24 13:50:13,8.4
150,2020-11-24 13:51:43,8.5
151,2020-11-24 13:52:14,8.2
152,2020-11-24 13:52:44,8.3
153,2020-11-24 13:53:14,8.5
154,2020-11-24 13:53:43,8.3
155,2020-11-24 13:54:13,8.4
156,2020-11-24 13:54:43,8.5
157,2020-11-24 13:55:13,8.1
158,2020-11-24 13:55:43,8.9
159,2020-11-24 13:56:13,8.7
160,2020-11-24 13:56:44,9.0
161,2020-11-24 13:57:14,8.9
162,2020-11-24 13:57:43,9.0
163,2020-11-24 13:58:13,8.8
164,2020-11-24 13:58:43,9.0
165,2020-11-24 13:59:13,8.6
166,2020-11-24 14:00:13,8.8
167,2020-11-24 14:01:44,8.7
168,2020-11-24 14:02:14,8.8
169,2020-11-24 14:02:43,8.6
170,2020-11-24 14:03:13,8.7
171,2020-11-24 14:03:43,8.9
172,2020-11-24 14:04:13,8.8
173,2020-11-24 14:05:13,8.7
174,2020-11-24 14:05:43,8.9
175,2020-11-24 14:06:13,9.0
176,2020-11-24 14:06:43,8.6
177,2020-11-24 14:07:13,9.0
178,2020-11-24 14:07:44,8.9
179,2020-11-24 14:08:13,8.7
180,2020-11-24 14:08:43,8.9
181,2020-11-24 14:09:43,8.8
182,2020-11-24 14:10:43,9.0
183,2020-11-24 14:10:47,5.4
184,2020-11-24 14:10:52,4.3
185,2020-11-24 14:10:55,7.8
186,2020-11-24 14:10:59,8.9
187,2020-11-24 14:11:29,8.6
188,2020-11-24 14:11:59,8.8
189,2020-11-24 14:12:29,8.7
190,2020-11-24 14:12:59,8.8
