,Time,Values
0,2022-08-17 10:00:00,60.191
1,2022-08-17 10:20:00,54.7
2,2022-08-18 02:20:00,38.4
3,2022-08-18 03:50:00,131.7
4,2022-08-18 08:50:00,112.1
5,2022-08-18 09:00:00,110.5
6,2022-08-18 15:00:00,40.4
7,2022-08-18 16:00:00,197.6
8,2022-08-19 07:30:00,79.6
9,2022-08-19 07:50:00,78.1
10,2022-08-19 08:00:00,78.7
11,2022-08-20 03:00:00,36.4
12,2022-08-20 06:30:00,45.0
13,2022-08-20 06:50:00,42.5
14,2022-08-20 16:30:00,34.5
15,2022-08-21 00:00:00,83.2
16,2022-08-21 05:30:00,37.9
17,2022-08-21 05:50:00,37.0
18,2022-08-21 11:20:00,104.3
19,2022-08-22 03:10:00,34.5
20,2022-08-22 04:30:00,35.4
21,2022-08-22 04:40:00,34.5
22,2022-08-22 05:30:00,34.3
23,2022-08-22 08:30:00,170.5
24,2022-08-23 03:30:00,40.5
25,2022-08-23 03:50:00,39.5
26,2022-08-23 10:20:00,20.0
27,2022-08-23 20:50:00,195.5
28,2022-08-24 02:30:00,90.5
29,2022-08-24 02:50:00,86.1
30,2022-08-24 04:40:00,167.1
31,2022-08-24 12:30:00,121.9
32,2022-08-24 20:50:00,55.1
33,2022-08-25 01:30:00,126.1
34,2022-08-25 01:50:00,115.4
35,2022-08-25 04:00:00,143.9
36,2022-08-25 09:00:00,51.3
37,2022-08-26 00:00:00,93.6
38,2022-08-26 00:20:00,89.3
39,2022-08-26 11:10:00,122.5
40,2022-08-26 18:50:00,39.7
41,2022-08-26 23:00:00,76.5
42,2022-08-26 23:20:00,106.2
43,2022-08-27 00:10:00,147.0
44,2022-08-27 21:50:00,38.4
45,2022-08-27 22:00:00,38.6
46,2022-08-27 22:20:00,37.5
47,2022-08-27 23:50:00,81.3
48,2022-08-28 18:40:00,34.8
49,2022-08-28 21:00:00,35.6
50,2022-08-28 21:20:00,36.7
51,2022-08-29 09:00:00,18.5
52,2022-08-29 13:20:00,104.9
53,2022-08-29 20:00:00,54.6
54,2022-08-29 20:20:00,50.1
55,2022-08-29 23:30:00,37.5
56,2022-08-30 01:00:00,89.4
57,2022-08-30 19:00:00,38.7
58,2022-08-30 19:20:00,45.7
59,2022-08-31 06:40:00,33.7
60,2022-08-31 14:50:00,66.6
61,2022-08-31 18:00:00,40.7
62,2022-08-31 18:20:00,39.4
63,2022-09-01 00:20:00,34.0
64,2022-09-01 02:40:00,71.2
65,2022-09-01 16:50:00,40.5
66,2022-09-01 17:00:00,40.5
67,2022-09-02 14:10:00,33.9
68,2022-09-02 15:10:00,105.3
69,2022-09-02 15:30:00,96.5
70,2022-09-02 15:50:00,81.3
71,2022-09-03 03:20:00,110.4
72,2022-09-03 14:30:00,36.4
73,2022-09-03 14:50:00,41.0
74,2022-09-03 23:50:00,25.9
75,2022-09-04 04:00:00,265.6
76,2022-09-04 13:40:00,47.8
77,2022-09-04 13:50:00,47.4
78,2022-09-04 15:10:00,142.5
79,2022-09-05 00:30:00,39.3
80,2022-09-05 12:30:00,40.6
81,2022-09-05 12:40:00,39.5
82,2022-09-05 16:50:00,36.2
83,2022-09-05 19:20:00,96.1
84,2022-09-06 11:30:00,44.3
85,2022-09-06 11:50:00,41.8
86,2022-09-06 18:10:00,34.9
87,2022-09-07 10:30:00,84.7
88,2022-09-07 10:50:00,94.6
89,2022-09-08 06:00:00,35.4
90,2022-09-08 09:20:00,96.6
91,2022-09-08 09:30:00,96.6
92,2022-09-08 09:50:00,127.7
93,2022-09-08 10:00:00,128.5
94,2022-09-08 20:00:00,35.5
95,2022-09-09 08:20:00,39.55
96,2022-09-09 09:10:00,38.0
97,2022-09-09 17:00:00,94.6
98,2022-09-10 07:20:00,38.349999999999994
99,2022-09-10 09:10:00,36.1
100,2022-09-10 11:10:00,105.1
101,2022-09-11 06:00:00,49.6
102,2022-09-11 06:20:00,45.5
103,2022-09-11 11:00:00,35.1
104,2022-09-11 13:20:00,145.0
105,2022-09-12 05:00:00,60.1
106,2022-09-12 05:20:00,53.8
107,2022-09-12 16:40:00,26.7
108,2022-09-13 01:40:00,212.6
109,2022-09-13 04:00:00,85.5
110,2022-09-13 04:20:00,74.7
111,2022-09-13 12:20:00,149.0
112,2022-09-13 23:30:00,35.7
113,2022-09-14 03:00:00,39.5
114,2022-09-14 03:20:00,39.8
115,2022-09-14 09:50:00,33.9
116,2022-09-14 14:50:00,51.5
117,2022-09-15 02:00:00,40.5
118,2022-09-15 02:20:00,42.9
119,2022-09-15 03:20:00,66.8
120,2022-09-16 00:30:00,34.0
121,2022-09-16 01:00:00,34.3
122,2022-09-16 01:10:00,33.6
123,2022-09-16 04:20:00,53.5
124,2022-09-16 22:40:00,25.2
125,2022-09-16 23:30:00,40.9
126,2022-09-16 23:50:00,39.3
127,2022-09-17 02:50:00,34.5
128,2022-09-17 04:20:00,140.9
129,2022-09-17 22:30:00,75.5
130,2022-09-17 22:50:00,67.7
131,2022-09-18 15:40:00,30.5
132,2022-09-18 16:10:00,86.0
133,2022-09-18 21:40:00,43.2
134,2022-09-18 21:50:00,46.5
135,2022-09-19 04:20:00,37.5
136,2022-09-19 18:20:00,152.1
137,2022-09-19 20:30:00,83.5
138,2022-09-19 20:50:00,75.5
139,2022-09-20 07:40:00,227.8
140,2022-09-20 16:10:00,44.2
141,2022-09-20 19:30:00,57.1
142,2022-09-20 19:50:00,51.5
143,2022-09-20 23:20:00,60.8
144,2022-09-21 18:10:00,22.2
145,2022-09-21 18:30:00,32.8
146,2022-09-21 18:50:00,33.3
147,2022-09-21 19:00:00,32.9
148,2022-09-22 08:40:00,231.7
149,2022-09-22 17:30:00,39.5
150,2022-09-22 17:40:00,40.8
151,2022-09-22 18:00:00,40.5
152,2022-09-22 21:40:00,167.6
153,2022-09-23 16:30:00,47.4
154,2022-09-24 04:50:00,40.4
155,2022-09-24 10:40:00,154.5
156,2022-09-24 15:00:00,48.8
157,2022-09-24 15:20:00,45.9
158,2022-09-24 17:50:00,41.0
159,2022-09-24 22:20:00,138.2
160,2022-09-25 14:00:00,69.2
161,2022-09-25 14:20:00,62.1
162,2022-09-26 00:20:00,193.4
163,2022-09-26 10:20:00,43.5
164,2022-09-26 13:00:00,101.7
165,2022-09-26 13:20:00,85.4
166,2022-09-26 22:00:00,42.2
167,2022-09-27 00:10:00,180.6
168,2022-09-27 12:00:00,57.3
169,2022-09-27 12:20:00,111.5
170,2022-09-27 12:30:00,119.5
171,2022-09-28 04:30:00,34.9
172,2022-09-28 11:00:00,38.5
173,2022-09-28 11:20:00,37.4
174,2022-09-28 23:10:00,35.5
175,2022-09-29 01:00:00,117.6
176,2022-09-29 10:00:00,39.8
177,2022-09-29 10:20:00,38.3
178,2022-09-29 12:10:00,35.5
179,2022-09-29 13:40:00,163.5
180,2022-09-30 09:00:00,39.4
181,2022-09-30 09:20:00,38.2
182,2022-09-30 13:50:00,92.2
183,2022-09-30 21:00:00,32.3
184,2022-10-01 07:50:00,56.15
185,2022-10-01 14:10:00,34.8
186,2022-10-01 15:00:00,134.9
187,2022-10-02 06:30:00,69.7
188,2022-10-02 06:50:00,61.5
189,2022-10-02 13:30:00,28.0
190,2022-10-03 04:00:00,67.7
191,2022-10-03 05:30:00,55.1
192,2022-10-03 05:50:00,50.5
193,2022-10-03 14:00:00,26.1
194,2022-10-03 15:50:00,59.4
195,2022-10-04 04:40:00,40.1
196,2022-10-04 05:00:00,44.0
197,2022-10-04 12:00:00,35.2
198,2022-10-04 17:40:00,154.5
199,2022-10-05 03:30:00,48.3
200,2022-10-05 03:50:00,44.6
201,2022-10-05 17:00:00,39.1
202,2022-10-05 18:10:00,178.6
203,2022-10-06 02:30:00,44.8
204,2022-10-06 02:50:00,42.2
205,2022-10-06 15:50:00,35.4
206,2022-10-06 22:30:00,126.4
207,2022-10-07 01:30:00,51.5
208,2022-10-07 01:50:00,47.4
209,2022-10-07 07:40:00,35.7
210,2022-10-07 23:00:00,191.5
211,2022-10-08 00:30:00,129.1
212,2022-10-08 00:50:00,106.9
213,2022-10-08 15:50:00,31.4
214,2022-10-08 23:00:00,63.5
215,2022-10-08 23:20:00,57.6
216,2022-10-09 09:50:00,33.6
217,2022-10-09 12:00:00,119.3
218,2022-10-09 22:00:00,35.6
219,2022-10-09 22:20:00,40.5
220,2022-10-09 23:20:00,107.5
221,2022-10-10 10:20:00,34.7
222,2022-10-10 21:00:00,36.4
223,2022-10-10 21:20:00,35.4
224,2022-10-10 22:00:00,35.4
225,2022-10-10 23:50:00,102.5
