,timestamp,5472,time_diff
590695,2021-04-05 14:06:57,92.2,
590706,2021-04-05 14:12:42,89.2,0 days 00:05:45
590715,2021-04-05 14:17:42,86.3,0 days 00:05:00
590724,2021-04-05 14:22:42,84.8,0 days 00:05:00
590732,2021-04-05 14:27:42,81.9,0 days 00:05:00
590742,2021-04-05 14:32:42,78.7,0 days 00:05:00
590750,2021-04-05 14:37:42,75.6,0 days 00:05:00
590759,2021-04-05 14:42:42,35.5,0 days 00:05:00
590770,2021-04-05 14:47:46,71.5,0 days 00:05:04
590780,2021-04-05 14:52:46,71.5,0 days 00:05:00
590787,2021-04-05 14:57:46,72.3,0 days 00:05:00
590796,2021-04-05 15:02:46,74.9,0 days 00:05:00
590806,2021-04-05 15:07:47,78.7,0 days 00:05:01
590818,2021-04-05 15:13:16,81.7,0 days 00:05:29
590833,2021-04-05 15:18:16,83.5,0 days 00:05:00
590848,2021-04-05 15:23:16,83.9,0 days 00:05:00
590862,2021-04-05 15:28:16,81.3,0 days 00:05:00
590877,2021-04-05 15:33:16,78.6,0 days 00:05:00
590894,2021-04-05 15:38:16,76.4,0 days 00:05:00
590912,2021-04-05 15:43:16,73.7,0 days 00:05:00
590929,2021-04-05 15:48:16,70.8,0 days 00:05:00
590946,2021-04-05 15:53:45,68.2,0 days 00:05:29
590962,2021-04-05 15:59:16,66.2,0 days 00:05:31
590976,2021-04-05 16:04:16,64.5,0 days 00:05:00
590991,2021-04-05 16:09:16,63.2,0 days 00:05:00
591001,2021-04-05 16:14:46,63.2,0 days 00:05:30
591009,2021-04-05 16:20:16,63.8,0 days 00:05:30
591017,2021-04-05 16:25:16,64.4,0 days 00:05:00
591027,2021-04-05 16:30:16,63.5,0 days 00:05:00
591036,2021-04-05 16:35:16,62.3,0 days 00:05:00
591045,2021-04-05 16:40:16,61.4,0 days 00:05:00
591054,2021-04-05 16:45:16,62.1,0 days 00:05:00
591064,2021-04-05 16:50:16,64,0 days 00:05:00
591074,2021-04-05 16:55:16,66.6,0 days 00:05:00
591083,2021-04-05 17:00:16,69.5,0 days 00:05:00
591093,2021-04-05 17:05:16,71.6,0 days 00:05:00
591103,2021-04-05 17:10:16,73.3,0 days 00:05:00
591113,2021-04-05 17:15:16,76.7,0 days 00:05:00
591121,2021-04-05 17:20:16,75.4,0 days 00:05:00
591132,2021-04-05 17:25:38,72.7,0 days 00:05:22
591140,2021-04-05 17:30:38,70.5,0 days 00:05:00
591150,2021-04-05 17:35:38,68.5,0 days 00:05:00
591162,2021-04-05 17:41:07,66.9,0 days 00:05:29
591175,2021-04-05 17:46:38,66.3,0 days 00:05:31
591189,2021-04-05 17:52:07,67.1,0 days 00:05:29
591207,2021-04-05 17:57:38,67.9,0 days 00:05:31
591219,2021-04-05 18:02:38,67.8,0 days 00:05:00
591236,2021-04-05 18:08:07,66.5,0 days 00:05:29
591256,2021-04-05 18:13:38,64.4,0 days 00:05:31
591274,2021-04-05 18:19:08,64.1,0 days 00:05:30
591292,2021-04-05 18:24:38,62.2,0 days 00:05:30
591310,2021-04-05 18:30:07,61.5,0 days 00:05:29
591329,2021-04-05 18:35:08,60.4,0 days 00:05:01
591347,2021-04-05 18:40:08,59.1,0 days 00:05:00
591367,2021-04-05 18:45:37,57.9,0 days 00:05:29
591380,2021-04-05 18:50:37,60.3,0 days 00:05:00
591389,2021-04-05 18:55:37,60.5,0 days 00:05:00
591399,2021-04-05 19:00:38,59.2,0 days 00:05:01
