,Time,Values
1908,2021-04-06 04:13:55,895.7
1909,2021-04-06 04:14:23,896.8
1910,2021-04-06 04:14:53,897.8
1911,2021-04-06 04:15:23,898.5
1912,2021-04-06 04:15:53,899.3
1913,2021-04-06 04:16:21,900.4
1914,2021-04-06 04:16:51,900.9
1915,2021-04-06 04:17:21,901.4
1916,2021-04-06 04:17:50,902.2
1917,2021-04-06 04:18:21,902.8
1918,2021-04-06 04:18:51,903.3
1919,2021-04-06 04:19:20,903.9
1920,2021-04-06 04:19:50,904.7
1921,2021-04-06 04:20:20,905.0
1922,2021-04-06 04:20:51,906.0
1923,2021-04-06 04:21:11,907.1
1924,2021-04-06 04:21:27,908.3
1925,2021-04-06 04:21:57,909.3
1926,2021-04-06 04:22:23,910.6
1927,2021-04-06 04:22:51,911.7
1928,2021-04-06 04:23:19,912.9
1929,2021-04-06 04:23:33,914.1
1930,2021-04-06 04:23:57,915.2
1931,2021-04-06 04:24:17,916.3
1932,2021-04-06 04:24:37,917.4
1933,2021-04-06 04:24:56,918.5
1934,2021-04-06 04:25:13,919.6
1935,2021-04-06 04:25:41,920.8
1936,2021-04-06 04:25:58,921.9
1937,2021-04-06 04:26:23,923.1
1938,2021-04-06 04:26:53,923.9
1939,2021-04-06 04:27:13,925.0
1940,2021-04-06 04:27:43,925.9
1941,2021-04-06 04:28:07,927.2
1942,2021-04-06 04:28:29,928.4
1943,2021-04-06 04:28:47,929.6
1944,2021-04-06 04:29:01,930.9
1945,2021-04-06 04:29:17,932.2
1946,2021-04-06 04:29:26,933.4
1947,2021-04-06 04:29:45,934.6
1948,2021-04-06 04:30:03,935.8
1949,2021-04-06 04:30:17,937.0
1950,2021-04-06 04:30:31,938.1
1951,2021-04-06 04:30:40,939.3
1952,2021-04-06 04:31:03,940.5
1953,2021-04-06 04:31:24,941.8
1954,2021-04-06 04:31:41,942.9
1955,2021-04-06 04:32:05,944.0
1956,2021-04-06 04:32:33,945.2
1957,2021-04-06 04:33:00,946.4
1958,2021-04-06 04:33:31,947.3
1959,2021-04-06 04:33:59,948.4
1960,2021-04-06 04:34:29,949.2
1961,2021-04-06 04:34:59,950.2
1962,2021-04-06 04:35:29,951.0
1963,2021-04-06 04:35:57,952.3
1964,2021-04-06 04:36:27,952.7
1965,2021-04-06 04:36:57,953.6
1966,2021-04-06 04:37:27,954.5
1967,2021-04-06 04:37:55,955.6
1968,2021-04-06 04:38:25,956.3
1969,2021-04-06 04:38:53,957.7
1970,2021-04-06 04:39:13,958.8
1971,2021-04-06 04:39:34,960.1
1972,2021-04-06 04:39:47,961.4
1973,2021-04-06 04:40:01,962.5
1974,2021-04-06 04:40:14,963.7
1975,2021-04-06 04:40:31,964.8
1976,2021-04-06 04:40:43,965.9
1977,2021-04-06 04:41:01,967.0
1978,2021-04-06 04:41:15,968.1
1979,2021-04-06 04:41:29,969.3
1980,2021-04-06 04:41:47,970.5
1981,2021-04-06 04:41:58,971.7
1982,2021-04-06 04:42:16,972.8
1983,2021-04-06 04:42:41,974.0
1984,2021-04-06 04:42:59,975.2
1985,2021-04-06 04:43:21,976.3
1986,2021-04-06 04:43:45,977.4
1987,2021-04-06 04:44:13,978.5
1988,2021-04-06 04:44:40,979.7
1989,2021-04-06 04:45:11,980.6
1990,2021-04-06 04:45:41,981.3
1991,2021-04-06 04:46:09,982.4
1992,2021-04-06 04:46:38,982.7
1993,2021-04-06 04:47:09,983.2
1994,2021-04-06 04:47:37,984.4
1995,2021-04-06 04:48:07,984.8
1996,2021-04-06 04:48:37,985.6
1997,2021-04-06 04:49:07,986.4
1998,2021-04-06 04:49:37,987.5
1999,2021-04-06 04:50:07,988.4
2000,2021-04-06 04:50:33,989.5
2001,2021-04-06 04:51:03,989.8
2002,2021-04-06 04:51:13,990.9
2003,2021-04-06 04:51:37,992.0
2004,2021-04-06 04:52:07,993.0
2005,2021-04-06 04:52:37,993.7
2006,2021-04-06 04:53:07,994.1
2007,2021-04-06 04:53:37,994.8
2008,2021-04-06 04:54:07,995.1
2009,2021-04-06 04:54:37,995.5
2010,2021-04-06 04:55:07,996.2
2011,2021-04-06 04:55:37,996.8
2012,2021-04-06 04:56:07,996.9
2013,2021-04-06 04:56:37,996.7
2014,2021-04-06 04:57:05,997.8
2015,2021-04-06 04:57:34,998.1
2016,2021-04-06 04:58:03,999.3
2017,2021-04-06 04:58:31,1000.5
2018,2021-04-06 04:59:01,1001.4
2019,2021-04-06 04:59:31,1002.3
2020,2021-04-06 04:59:52,1003.5
2021,2021-04-06 05:00:23,1003.6
2022,2021-04-06 05:00:35,1004.9
2023,2021-04-06 05:01:05,1006.1
2024,2021-04-06 05:01:29,1007.3
2025,2021-04-06 05:01:58,1008.2
2026,2021-04-06 05:02:29,1008.5
2027,2021-04-06 05:02:51,1009.8
2028,2021-04-06 05:03:21,1010.1
2029,2021-04-06 05:03:51,1010.5
2030,2021-04-06 05:04:20,1010.9
2031,2021-04-06 05:04:41,1012.0
2032,2021-04-06 05:04:55,1013.3
2033,2021-04-06 05:05:24,1014.4
2034,2021-04-06 05:05:39,1015.5
2035,2021-04-06 05:05:57,1016.6
2036,2021-04-06 05:06:27,1017.5
2037,2021-04-06 05:06:56,1018.6
2038,2021-04-06 05:07:27,1019.6
2039,2021-04-06 05:07:57,1020.6
2040,2021-04-06 05:08:26,1021.5
2041,2021-04-06 05:08:53,1022.6
2042,2021-04-06 05:09:22,1023.3
2043,2021-04-06 05:09:53,1023.8
