u,v
0.15209398,0.93235176
0.11848997,1.05529213
0.07228435,2.57466916
0.12202631,-2.83834971
0.08330727,-2.75863727
0.03052742,1.35928406
0.10904721,0.88530312
0.08431066,1.24355132
0.08257822,2.96550748
0.13135089,-2.73908049
0.11150502,-2.64709518
0.00389299,-2.28962631
0.09752671,0.63749295
0.11222422,0.62783659
0.02071827,1.10319617
0.07951512,-2.41648026
0.09713192,-2.18337558
0.03708485,-1.31623711
0.08271149,0.34555558
0.09593709,0.54140146
0.02494145,0.91554832
0.07292373,-2.58911513
0.08802006,-2.30763181
0.04302019,-1.48129251
0.10630302,0.13824300
0.14721605,0.27847052
0.09967046,0.11045434
0.04876464,-1.23004567
0.09850507,-1.90606753
0.10972310,-1.86193343
0.11298190,-1.16952230
0.14213110,-0.64556241
0.14881602,-0.42622014
0.08048829,-0.08427481
0.09030810,1.16430712
0.19312870,1.51387782
0.29445105,1.53471989
0.31588997,1.58296964
0.25178810,1.69181379
0.15875305,2.00916556
0.10970171,2.62865766
0.06734530,2.81210365
0.05883567,1.17121712
0.12942338,0.72934472
0.14188272,0.40878938
0.10787122,-0.01867355
0.08388105,-0.90764708
0.11882426,-1.24124865
0.14335011,-0.96153544
0.16286017,-0.54620423
0.15046616,-0.26977427
0.08131451,-0.01801607
0.04403240,2.15187862
0.13092185,2.37300795
0.19901948,2.17895957
0.23531474,1.83049646
0.26005910,1.61235097
0.25770811,1.54734647
0.23516685,1.73504895
0.22493672,1.87504094
0.23462758,1.78150810
0.25905600,1.53827597
0.25367920,1.36802143
0.20073290,1.30590440
0.11516638,1.80343469
0.08512931,3.07917384
0.07630284,-2.32394764
0.07497833,-0.70067941
0.16220633,-0.06439050
0.17869510,-0.10986509
0.13408544,-0.65661153
0.16100794,-1.44192732
0.19335011,-1.52911432
0.16406138,-1.14509251
0.15477218,-0.46100213
0.13747166,-0.10006626
0.03990183,-0.43080520
0.11347213,-2.62885158
0.15227179,-2.71775178
0.08079764,-2.97309079
0.09105334,1.04865693
0.18160555,0.90833819
0.16784134,1.06761853
0.11328716,1.93089125
0.10042853,2.78004778
0.04962614,2.62015818
0.11875228,0.70243802
0.19206256,0.65627690
0.12805591,0.72165480
0.04257322,-2.99482946
0.14458239,-2.39023152
0.13087113,-2.04758461
0.10758784,-0.51619066
0.18523355,0.14483288
0.16828543,0.17498737
0.05367997,-0.73230801
0.13750957,-1.98320680
0.14522231,-1.86503088
0.08848831,-0.84982499
0.14296237,0.19463244
0.12810408,0.48474423
0.06236027,2.71472215
0.19539289,-2.94732151
0.18936845,-2.93414623
0.08415302,2.73441513
0.14749082,1.11714284
0.19586935,0.96282748
0.10580412,1.34386775
0.10220369,3.11829938
0.14446105,-2.53460497
0.06721772,-1.54900141
0.14696017,0.14630231
0.18929150,0.25624050
0.05598828,0.13449663
0.14431254,-2.40915482
0.18980174,-2.32139627
0.10912390,-2.06371483
0.11536359,0.00793634
0.20087274,0.34596726
0.13255077,0.31170286
0.05142064,-2.28058127
0.15551735,-2.29704755
0.10721820,-2.05583109
0.09186592,0.18644994
0.17786957,0.54430362
0.10839138,0.76747888
0.11765936,-2.92832540
0.22030239,-2.60986857
0.16357721,-2.47122228
0.04920784,-0.36530369
0.18474962,0.36909514
0.18694285,0.33847760
0.02087868,-0.84124068
0.15443602,-2.21572022
0.15498510,-1.95086388
0.09105334,-0.40515584
0.21433107,0.42160739
0.21761152,0.56769725
0.08912920,1.51529782
0.15240132,2.99204919
0.14643814,3.09906512
0.06303517,1.83832226
0.19760203,0.79850360
0.24222133,0.64758331
0.13100070,0.82395476
0.06696810,3.07866216
0.10707505,-2.40458282
0.03535514,-0.69739080
0.18556333,0.46011722
0.21031133,0.45040850
0.06887629,0.16558574
0.16047070,-2.23324062
0.22644287,-2.00478548
0.17110659,-1.47325737
0.19768142,-0.28835149
0.25567819,-0.02077065
0.19474212,-0.24406647
0.15014671,-1.37938012
0.23365229,-1.75681827
0.20058695,-1.59909927
0.14608831,-0.68863981
0.17784571,-0.06800642
0.12046787,-0.14490650
0.11003512,-2.13433474
0.21235341,-2.34765813
0.16871247,-2.35235723
0.03064526,-1.07240333
0.15773091,0.45170634
0.17841482,0.48935366
0.02733205,0.95677732
0.14393321,-2.56276415
0.16930447,-2.32636402
0.05843424,-1.90939364
0.11622721,0.40654672
0.14114110,0.59807783
0.03547301,2.44024508
0.18016909,-2.68930823
0.18420153,-2.55000582
0.07866618,-2.49157393
0.10265739,0.53950178
0.18421100,0.57725033
0.09923267,0.67819918
0.08127182,-2.79205168
0.16628067,-2.42711358
0.11141838,-2.29689277
0.05236240,0.23649710
0.14023307,0.57424034
0.07930210,0.82459377
0.10318125,-2.85183567
0.17578223,-2.56543579
0.13181275,-2.51003874
0.02839107,-0.11635516
0.15039317,0.50449678
0.14662898,0.48878199
0.00599811,1.78615402
0.14132580,-2.49498194
0.15487862,-2.33947365
0.04739889,-2.13308115
0.09254358,0.47692114
0.12239669,0.65277670
0.03292335,2.01951966
0.13080257,-2.69735401
0.14485335,-2.52413518
0.06477267,-2.32420541
0.10096793,0.34985563
0.15629105,0.48775193
0.07982508,0.40308454
0.09649327,-2.55201108
0.17829648,-2.36273035
0.14004501,-2.42559168
0.00846480,-2.46347335
0.09208502,0.94638598
0.08960887,1.53196106
0.12188775,2.86308667
0.17559701,-3.09673758
0.15590591,-3.10987591
0.05238545,2.18982677
0.13181147,0.84830718
0.15814955,0.72231543
0.06652806,1.28909404
