height,period,angle_from_north
1.5,7.05,3.90953752
1.5,6.75,4.01425728
1.8,7.2,4.24115008
2.1,7.8,4.04916386
2.3,7.95,3.92699082
2.3,7.95,3.89208423
2.7,8.1,4.10152374
2.1,7.65,3.82227106
2.5,8.25,3.82227106
2.9,9.45,3.59537826
2.5,8.7,3.94444411
2.1,8.1,4.11897703
2.1,8.1,4.24115008
2.4,7.95,4.1887902
2.3,7.95,4.25860337
3.1,8.85,4.17133691
3.6,9.6,4.2062435
3.9,9.75,4.08407045
3.8,9.9,4.27605667
3.2,9.15,4.29350996
3.5,9.9,4.15388362
3.8,9.9,4.11897703
3.6,9.6,4.17133691
3.6,9.6,4.08407045
4.7,10.35,4.10152374
4.7,11.1,3.90953752
4.2,10.35,3.52556509
3.7,9.9,3.01941961
4.2,10.2,2.77507351
4.8,10.8,3.40339204
5.9,11.7,3.83972435
6.9,12.45,3.9618974
7.3,13.05,4.31096325
9.1,14.4,4.52040276
9.1,14.4,4.60766923
9.1,14.4,4.6600291
9.1,14.4,4.74729557
7.1,12.75,4.9043752
7.1,12.75,4.92182849
7.1,12.75,4.95673508
7.1,12.75,5.18362788
5.6,11.1,4.74729557
6,12.3,4.55530935
5.1,11.55,4.4331363
5.1,11.55,4.27605667
5.1,11.55,4.17133691
5.8,11.55,4.15388362
5.5,11.4,4.1887902
5.1,11.55,4.86946861
5.9,11.85,4.9043752
6.2,11.7,4.71238898
6,11.55,4.6600291
6.1,12.3,5.34070751
5.8,12,5.56760031
5.3,11.55,5.63741348
6,11.4,5.46288056
7,12.45,5.48033385
6.8,12.6,5.41052068
6.7,13.05,5.41052068
7.1,13.2,5.58505361
6.4,12.9,5.53269373
6.4,12.9,5.8293997
5,11.4,5.67232007
4.5,10.65,5.56760031
4.8,11.7,5.6025069
4,10.8,5.34070751
3.7,10.65,5.21853446
3.5,10.8,4.78220215
3.1,10.2,4.45058959
2.8,9.3,4.15388362
2.6,8.85,4.10152374
2.6,8.4,4.27605667
2.7,9,4.59021593
3,9.15,4.88692191
3,9.3,4.95673508
2.7,8.55,4.9043752
3.2,9.15,4.9043752
3.7,9.45,4.95673508
4.4,10.35,4.95673508
4.7,10.5,4.86946861
4.5,10.8,4.93928178
5,11.25,4.86946861
4.8,10.8,4.93928178
4.9,10.95,4.92182849
5,11.1,5.04400154
4.7,11.1,5.3581608
5.6,12,5.28834763
5.6,12.3,5.6025069
4.3,11.4,5.68977336
3.9,10.65,5.65486678
3.5,10.8,5.25344105
2.9,9.9,5.41052068
2.7,9.9,5.16617459
2.4,10.05,4.62512252
2.1,9.75,4.11897703
1.7,9,3.24631241
1.7,8.4,4.06661716
1.6,8.1,4.4331363
1.5,7.65,4.50294947
1.9,7.95,4.48549618
1.9,7.95,4.29350996
2,7.95,4.4331363
2.3,8.1,5.06145483
2,7.8,5.11381471
2,7.35,5.28834763
2.5,8.1,5.27089434
2.6,7.95,5.14872129
2.5,8.85,4.92182849
2.2,8.55,4.59021593
1.9,8.25,4.2062435
1.8,7.8,4.25860337
2,8.1,4.45058959
2.1,7.65,4.31096325
2.2,8.25,4.38077642
2.6,8.55,4.32841654
2.7,9,4.4331363
2.5,9,4.38077642
2.7,9,4.25860337
2.7,8.85,4.17133691
2.7,8.7,4.22369679
2.5,8.4,4.41568301
2.4,8.55,4.64257581
2.4,9,4.78220215
2.5,9.15,5.09636142
2.5,8.85,5.131268
2.2,8.55,4.95673508
2,8.25,4.69493569
2.1,8.7,4.29350996
2.1,9.15,3.71755131
2.3,9.15,4.06661716
2.3,8.25,3.9618974
2.8,8.25,4.08407045
3.1,8.7,4.17133691
4,10.05,4.25860337
4.6,11.1,4.2062435
5.6,11.4,4.2062435
4.8,10.65,5.53269373
5,10.65,5.42797397
4.7,10.5,5.44542727
5.4,11.55,5.39306739
5.8,11.85,5.42797397
4.7,10.95,5.3756141
4.9,11.4,5.3581608
4.3,10.8,5.27089434
5.5,11.7,5.42797397
4.9,11.25,5.55014702
5.6,12.3,5.61996019
5.8,12.45,5.56760031
5.8,12.6,5.74213324
5.6,12.6,5.6025069
6.1,13.2,5.48033385
6.8,13.95,5.58505361
5.1,12,5.63741348
5.4,13.5,5.72467995
5,13.35,5.93411946
4.6,13.65,5.6025069
4.3,13.2,5.67232007
3.4,11.1,5.65486678
3.5,12.3,5.93411946
2.9,11.7,5.74213324
2.5,10.95,5.58505361
2.7,11.85,5.65486678
2.1,11.1,5.14872129
2,10.5,5.61996019
1.9,10.35,5.06145483
1.9,10.8,5.02654825
1.6,10.65,4.93928178
1.6,10.65,4.74729557
1.2,10.05,4.13643033
1.1,9.9,3.71755131
1.1,10.5,3.45575192
1.1,9.9,3.5081118
1,9,3.17649924
0.9,8.7,3.35103216
0.8,8.1,3.75245789
0.7,7.05,4.1887902
0.8,6.9,4.03171057
0.7,7.05,3.70009801
0.7,7.35,3.90953752
0.9,6.9,4.1887902
0.8,6.6,4.01425728
0.7,6.3,4.17133691
0.7,6.3,4.2062435
0.7,6.15,4.06661716
0.7,6,4.39822972
0.7,6.15,4.11897703
0.8,5.85,4.06661716
0.8,6,3.94444411
0.9,6.15,4.06661716
1,6.3,4.11897703
1.1,6.15,3.97935069
1,6,3.85717765
1.1,5.85,3.64773814
1.2,6.15,3.9618974
1.4,6.6,4.08407045
1.5,7.2,4.17133691
1.4,6.9,3.83972435
1.4,6.9,4.36332313
1.4,6.9,4.25860337
1.4,7.05,4.10152374
1.2,6.75,3.90953752
1,6.75,4.13643033
